selection_order	alp_id	source_inventory	source_part	source_chapter	source_section	source_anchor	primary_type	summary	recall_dimensions	stress_cases	planned_note_forms	expected_notes	stress_fixture	selection_rationale
1	ALP-FND-00-0003	inventory/topic_inventory/FND-00.tsv	foundation	00 序章 簿記の基本	1.1 簿記の目的	commercial/chapter00.md::1.1	reasoning	投資家・銀行・取引先は財務諸表を出資・融資・取引判断に利用する	reasoning_why	S6_table_to_recall_units	reasoning_cloze	1		利害関係者テーブルを目的別の想起単位へ変換し、why型の文脈十分性を検証する
2	ALP-FND-00-0012	inventory/topic_inventory/FND-00.tsv	foundation	00 序章 簿記の基本	2.1 簿記の5要素	commercial/chapter00.md::2.1	classification	財務諸表の基本5要素は資産・負債・純資産・収益・費用である	classification	S2_shared_cloze_number;S6_table_to_recall_units;S8_context_leakage	classification_cloze	1		5要素の列挙でcloze番号共有と可視文脈リークを同時に検証する
3	ALP-FND-00-0017	inventory/topic_inventory/FND-00.tsv	foundation	00 序章 簿記の基本	2.2 資産・負債・純資産	commercial/chapter00.md::2.2	comparison	出資には返済義務がなく、借入には返済義務がある	comparison	S2_shared_cloze_number	paired_comparison_cloze	1		対になる2事実を一体で想起させるべきか分離すべきかを検証する
4	ALP-FND-00-0022	inventory/topic_inventory/FND-00.tsv	foundation	00 序章 簿記の基本	2.3 借方・貸方と定位置	commercial/chapter00.md::2.3	classification	資産・費用は借方増加、負債・純資産・収益は貸方増加である	classification	S2_shared_cloze_number;S6_table_to_recall_units;S8_context_leakage	classification_table_cloze	1		借貸の対応表を原子的な想起単位へ変換し、答えを周辺文脈に露出させない設計を試す
5	ALP-FND-00-0024	inventory/topic_inventory/FND-00.tsv	foundation	00 序章 簿記の基本	2.4 取引の2面性	commercial/chapter00.md::2.4	journal_entry	仕訳の借方合計と貸方合計は必ず一致する	simple_journal_entry	S7_redundant_example_exclusion	journal_balance_cloze	1	commercial/chapter00.md::2.4-example	500円出資の装飾的数値例を独立Note化せず、一般則だけを残す除外判断を検証する
6	ALP-FND-00-0026	inventory/topic_inventory/FND-00.tsv	foundation	00 序章 簿記の基本	3.1 簿記上の取引	commercial/chapter00.md::3.1	recognition	火災・盗難による資産喪失は5要素を変化させるため簿記上の取引となる	recognition_timing	table_boundary_case	recognition_cloze	1		一般語の取引と簿記上の認識範囲がずれる境界事例を試す
7	ALP-FND-00-0027	inventory/topic_inventory/FND-00.tsv	foundation	00 序章 簿記の基本	3.1 簿記上の取引	commercial/chapter00.md::3.1	recognition	契約締結だけで受入・支払がなく5要素が増減しない場合は原則簿記上の取引とならない	recognition_timing;exception_condition	boundary_condition	recognition_condition_cloze	1		認識時点と原則条件を同時に誤解しやすい負例として使う
8	ALP-FND-00-0029	inventory/topic_inventory/FND-00.tsv	foundation	00 序章 簿記の基本	3.2 仕訳	commercial/chapter00.md::3.2	journal_entry	1取引に複数勘定科目が関係する場合は複合仕訳となる	compound_journal_entry	S7_redundant_example_exclusion;S10_compound_multi_account	compound_entry_rule_cloze	1	commercial/chapter00.md::3.2-examples	複合仕訳の定義を残し、建物・土地取得等の重複数値例を別Note化しない判断を検証する
9	ALP-FND-00-0035	inventory/topic_inventory/FND-00.tsv	foundation	00 序章 簿記の基本	4.2 簿記の一巡	commercial/chapter00.md::4.2	procedure	簿記の一巡は期首手続→期中の仕訳転記→期末試算表・決算→財務諸表作成の順で進む	procedure_order	S5_long_procedural_chain	ordered_chain_cloze	1		長い順序列を過剰な一括clozeにせず保持できるかを検証する
10	ALP-FND-00-0038	inventory/topic_inventory/FND-00.tsv	foundation	00 序章 簿記の基本	4.3 試算表	commercial/chapter00.md::4.3	comparison	合計試算表・残高試算表・合計残高試算表は集計対象が異なる	comparison	S6_table_to_recall_units	comparison_table_cloze	1		3種比較表を独立した識別可能な想起単位へ変換する
11	ALP-FND-00-0040	inventory/topic_inventory/FND-00.tsv	foundation	00 序章 簿記の基本	4.3 試算表	commercial/chapter00.md::4.3	exception	同額を借貸双方で誤記する等は貸借一致だけでは発見できない	exception_condition	limitation_case	exception_cloze	1		試算表の限界を一般則と混同しない条件付き想起を検証する
12	ALP-FND-00-0041	inventory/topic_inventory/FND-00.tsv	foundation	00 序章 簿記の基本	5 基本的な費用取引	commercial/chapter00.md::5	journal_entry	現金等を支払い給料・諸経費が発生したら支払内容に応じた費用を借方計上する	simple_journal_entry	S3_accounts_vs_amounts	journal_entry_cloze	1		単純仕訳で勘定科目を問うclozeと金額を問うclozeを混同しない設計を試す
13	ALP-FND-00-0052	inventory/topic_inventory/FND-00.tsv	foundation	00 序章 簿記の基本	6.4 社会保険料と法定福利費	commercial/chapter00.md::6.4	journal_entry	所得税・社会保険料を同時控除しても給料は総額計上し各預り金と手取支払額に分けて貸方処理する	compound_journal_entry	S3_accounts_vs_amounts;S10_compound_multi_account	compound_journal_cloze	1		1借方対複数貸方の給与複合仕訳で勘定名・金額・借貸位置のcloze分離を検証する
14	ALP-FND-00-0053	inventory/topic_inventory/FND-00.tsv	foundation	00 序章 簿記の基本	7.1 仮払金	commercial/chapter00.md::7.1	procedure	支払内容・金額が未確定なら仮払金で記録し確定後に本来科目へ振り替える	procedure_order;recognition_timing	temporary_account_chain	procedure_cloze	1		未確定→仮勘定→確定→振替の短い手続連鎖を検証する
15	ALP-FND-00-0058	inventory/topic_inventory/FND-00.tsv	foundation	00 序章 簿記の基本	8 訂正仕訳	commercial/chapter00.md::8	formula	誤仕訳＋訂正仕訳＝正しい仕訳、したがって訂正仕訳＝誤仕訳の逆仕訳＋正しい仕訳である	formula;numerical_application	S4_formula_decomposition;S7_redundant_example_exclusion	formula_cloze;numerical_application_cloze	2	commercial/chapter00.md::8-example	関係式の分解と数値適用を別想起として試し、100→1,000の装飾例自体は独立ALP化しない
16	ALP-FND-00-0072	inventory/topic_inventory/FND-00.tsv	foundation	00 序章 簿記の基本	10.6 売上帳・仕入帳	commercial/chapter00.md::10.6	formula	純売上高＝総売上高－売上戻り高、純仕入高＝総仕入高－仕入戻し高である	formula	S1_same_fact_cross_context	paired_formula_cloze	1		COM-01の純仕入高と重なる基礎文脈を残し、重複リスクを明示的に検証する
17	ALP-COM-01-0001	inventory/topic_inventory/COM-01.tsv	commercial	01 商品売買	第1節 1 商品売買の基礎	commercial/chapter01.md::1-1	classification	商品は販売目的で仕入れた物品であり同じ物品でも購入目的で勘定科目が変わる	classification	S6_table_to_recall_units;S8_context_leakage	classification_table_cloze	1		購入目的と会計処理の表を、目的語が答えを漏らさない形で想起単位へ変換する
18	ALP-COM-01-0003	inventory/topic_inventory/COM-01.tsv	commercial	01 商品売買	第1節 1 商品売買の基礎	commercial/chapter01.md::1-1	recognition	掛仕入は商品受入時に仕入と買掛金を計上し支払時に仕入を再計上しない	recognition_timing	payment_vs_recognition	recognition_journal_cloze	1		商品受入時と支払時を区別する代表的な認識時点カードを作れる
19	ALP-COM-01-0004	inventory/topic_inventory/COM-01.tsv	commercial	01 商品売買	第1節 1 商品売買の基礎	commercial/chapter01.md::1-1	journal_entry	商品引渡前の手付金・内金は仕入でなく前払金（資産）とし受取時に仕入へ充当する	compound_journal_entry;exception_condition	S3_accounts_vs_amounts;S9_synonym_ambiguity;S10_compound_multi_account	compound_journal_cloze	1		前払金／前渡金の同義語許容と、受取時に前払金＋残額決済となる複合仕訳を同時に検証する
20	ALP-COM-01-0006	inventory/topic_inventory/COM-01.tsv	commercial	01 商品売買	第1節 1 商品売買の基礎	commercial/chapter01.md::1-1	formula	純仕入高は総仕入高から仕入戻し高を控除して求める	formula	S1_same_fact_cross_context	formula_cloze	1		FND-00-0072と同じ事実を商品売買の実務文脈で扱い、重複か有用な再文脈化かを検証する
21	ALP-COM-01-0008	inventory/topic_inventory/COM-01.tsv	commercial	01 商品売買	第1節 1 商品売買の基礎	commercial/chapter01.md::1-1	formula	仕入金額＝購入代価＋当社負担の仕入諸掛りである	formula;numerical_application	S4_formula_decomposition	formula_cloze;numerical_application_cloze	2		購入代価と付随費用の構成要素を分解し、数値代入Noteも生成できる
22	ALP-COM-01-0009	inventory/topic_inventory/COM-01.tsv	commercial	01 商品売買	第1節 2 記帳方法	commercial/chapter01.md::1-2	classification	商品売買の記帳方法には三分法・分記法・売上原価対立法がある	classification	S6_table_to_recall_units	classification_cloze	1		3方式の分類を比較表の前提となる原子的な分類Noteとして検証する
23	ALP-COM-01-0011	inventory/topic_inventory/COM-01.tsv	commercial	01 商品売買	第1節 2 記帳方法	commercial/chapter01.md::1-2	journal_entry	三分法の決算整理では期首商品を繰越商品から仕入へ、期末商品を仕入から繰越商品へ振り替える	compound_journal_entry	S2_shared_cloze_number;S3_accounts_vs_amounts	paired_closing_entry_cloze	1		期首と期末の対称的な2仕訳でcloze番号共有と勘定方向の誤答リスクを検証する
24	ALP-COM-01-0016	inventory/topic_inventory/COM-01.tsv	commercial	01 商品売買	第1節 3 売上原価対立法	commercial/chapter01.md::1-3	journal_entry	売上時は売上収益を計上すると同時に販売商品の原価を商品から売上原価へ振り替える	compound_journal_entry	S3_accounts_vs_amounts;S10_compound_multi_account	compound_journal_cloze	1		売上仕訳と原価振替を同一取引内で扱う複数借貸勘定の代表ケース
25	ALP-COM-01-0018	inventory/topic_inventory/COM-01.tsv	commercial	01 商品売買	第1節 4 記帳方法比較	commercial/chapter01.md::1-4	comparison	三分法は決算時、分記法は売上の都度商品売買益、売上原価対立法は売上時に売上原価を把握する	comparison	S6_table_to_recall_units;S7_redundant_example_exclusion;S8_context_leakage	comparison_table_cloze	1	commercial/chapter01.md::1-examples	方式比較表を想起単位へ変換し、直後の単純数値例を別Note化しない判断を検証する
26	ALP-COM-01-0023	inventory/topic_inventory/COM-01.tsv	commercial	01 商品売買	第2節 3 先入先出法	commercial/chapter01.md::2-3	definition	先入先出法は先に仕入れた商品から先に払い出したと仮定する	definition	definition_precision	definition_cloze	1		短い定義で必要十分な答えサイズと同義表現許容を基準化する
27	ALP-COM-01-0025	inventory/topic_inventory/COM-01.tsv	commercial	01 商品売買	第2節 4 移動平均法	commercial/chapter01.md::2-4	formula	移動平均法は仕入の都度その時点の在庫金額÷在庫数量で平均単価を再計算し次の払出単価とする	formula;numerical_application	S4_formula_decomposition	formula_cloze;numerical_application_cloze	2		計算時点・分子・分母を分離し、数値適用でも同じ規則を再利用する
28	ALP-COM-01-0028	inventory/topic_inventory/COM-01.tsv	commercial	01 商品売買	第2節 5 総平均法	commercial/chapter01.md::2-5	formula	総平均単価＝（期首金額＋期中仕入金額）÷（期首数量＋期中仕入数量）である	formula;numerical_application	S4_formula_decomposition	formula_cloze;numerical_application_cloze	2		複数項の分子・分母を持つ公式で過大clozeと分解粒度を検証する
29	ALP-COM-01-0036	inventory/topic_inventory/COM-01.tsv	commercial	01 商品売買	第2節 6 商品有高帳と売上原価	commercial/chapter01.md::2-6	reasoning	売上高と対応させるのは仕入高ではなく販売済商品の売上原価である	reasoning_why	matching_reasoning	reasoning_cloze	1		売上原価の必要性を丸暗記でなく対応原則の理由として想起させる
