alp_id	source_part	source_chapter	source_section	source_anchor	summary	type	status	include_reason	exclude_reason	note_ids	qa_status
ALP-IND-08-0001	industrial	8 総合原価計算	第1節 総合原価計算とは	industrial/chapter08.md::process-costing	総合原価計算は同一規格品を連続・大量生産する市場見込生産に適用し、一定期間の製造原価を完成品と仕掛品へ配分する	definition	INCLUDE	process costing definition			pending
ALP-IND-08-0002	industrial	8 総合原価計算	第1節 総合原価計算とは	industrial/chapter08.md::continuous-order	総合原価計算では1か月の生産を指示する継続製造指図書を用い、生産量は月末に確定する	definition	INCLUDE	continuous production order			pending
ALP-IND-08-0003	industrial	8 総合原価計算	第1節 総合原価計算とは	industrial/chapter08.md::comparison	個別原価計算は指図書別に原価集計するのに対し、総合原価計算は期間原価を完成品と月末仕掛品へ按分する	comparison	INCLUDE	job versus process costing			pending
ALP-IND-08-0004	industrial	8 総合原価計算	第2節 計算手続	industrial/chapter08.md::current-cost	当月製造費用は当月に発生し仕掛品勘定借方へ集計された製造原価である	definition	INCLUDE	current manufacturing cost definition			pending
ALP-IND-08-0005	industrial	8 総合原価計算	第2節 計算手続	industrial/chapter08.md::conversion-cost	加工費は直接材料費以外の製造原価で、直接労務費・直接経費・製造間接費からなる	classification	INCLUDE	conversion cost definition			pending
ALP-IND-08-0006	industrial	8 総合原価計算	第2節 計算手続	industrial/chapter08.md::completion-degree	加工進捗度は製造工程全体に対する加工の進み具合を割合で示す	definition	INCLUDE	completion degree definition			pending
ALP-IND-08-0007	industrial	8 総合原価計算	第2節 計算手続	industrial/chapter08.md::equivalent-units	加工換算量＝実在量×加工進捗度で、仕掛品の加工費が完成品何個分に相当するかを表す	formula	INCLUDE	equivalent units formula			pending
ALP-IND-08-0008	industrial	8 総合原価計算	第2節 計算手続	industrial/chapter08.md::basic-flow	総合原価計算では当月製造費用を算定し、月末仕掛品原価を求め、残額を完成品原価とする	procedure	INCLUDE	basic process costing workflow			pending
ALP-IND-08-0009	industrial	8 総合原価計算	第2節 月末仕掛品	industrial/chapter08.md::materials-vs-conversion	始点一括投入の直接材料費は実在量で按分し、加工費は加工換算量で按分する	measurement	INCLUDE	material conversion allocation distinction			pending
ALP-IND-08-0010	industrial	8 総合原価計算	第2節 月末仕掛品	industrial/chapter08.md::ending-material	始点投入材料の月末仕掛品材料費＝対象材料費×月末仕掛品数量÷対象投入数量である	formula	INCLUDE	ending WIP material formula			pending
ALP-IND-08-0011	industrial	8 総合原価計算	第2節 月末仕掛品	industrial/chapter08.md::ending-conversion	月末仕掛品加工費＝対象加工費×月末仕掛品加工換算量÷対象加工換算量合計である	formula	INCLUDE	ending WIP conversion formula			pending
ALP-IND-08-0012	industrial	8 総合原価計算	第2節 月末仕掛品	industrial/chapter08.md::completed-cost	完成品原価＝月初仕掛品原価＋当月製造費用－月末仕掛品原価である	formula	INCLUDE	completed goods process cost formula			pending
ALP-IND-08-0013	industrial	8 総合原価計算	第2節 月初仕掛品あり	industrial/chapter08.md::fifo	先入先出法は月初仕掛品が先に完成すると仮定し、月初仕掛品原価を完成品へ含め、当月製造費用を当月投入分の完成品と月末仕掛品へ配分する	procedure	INCLUDE	FIFO process costing logic			pending
