ID	Text	Extra	SourceRepo	SourceCommit	SourcePath	Part	Chapter	Section	Topic	Type	ALP_IDs	Difficulty	Tags	Status	QA
BK-IND-12-0001	製造原価の扱いでは、全部原価計算は{{c1::すべての製造原価}}を製品原価とするのに対し、直接原価計算は{{c1::変動製造原価のみ}}を製品原価とし、{{c1::固定製造原価}}は{{c1::期間原価}}とする。販売費及び一般管理費は両方法とも{{c1::期間原価}}とする。	主要な相違は固定製造原価を製品原価に含めるかどうか。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	industrial	12 直接原価計算	第1節 直接原価計算とは	全部原価計算と直接原価計算	comparison	ALP-IND-12-0001 ALP-IND-12-0002 ALP-IND-12-0006	2	bookkeeping::industrial chapter::industrial::12 difficulty::2 status::approved topic::全部原価計算と直接原価計算 type::comparison	approved	pass
BK-IND-12-0002	製品原価は製品に集計され、販売されるまで{{c1::棚卸資産}}として繰り延べる。期間原価は{{c1::発生期}}に全額費用処理する。	製品原価は販売時に売上原価へ振り替わるのに対し、期間原価は当期費用となる。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	industrial	12 直接原価計算	第1節 直接原価計算とは	製品原価と期間原価	comparison	ALP-IND-12-0003	1	bookkeeping::industrial chapter::industrial::12 difficulty::1 status::approved topic::製品原価と期間原価 type::comparison	approved	pass
BK-IND-12-0003	直接原価計算は、公表用財務諸表の作成よりも、売上高と利益の関係を分析する{{c1::企業内部}}向けの{{c1::利益計画}}に主として用いる。	標準原価計算は原価管理、直接原価計算は利益計画に役立つ。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	industrial	12 直接原価計算	第1節 直接原価計算とは	直接原価計算の目的	reasoning	ALP-IND-12-0004	1	bookkeeping::industrial chapter::industrial::12 difficulty::1 status::approved topic::直接原価計算の目的 type::reasoning	approved	pass
BK-IND-12-0004	直接原価計算では原価を{{c1::変動費}}と{{c1::固定費}}に区分し、売上高から{{c1::変動費}}を控除して{{c1::貢献利益}}、さらに{{c1::固定費}}を控除して{{c1::営業利益}}を求める。	利益計画では、売上高の変化に連動する変動費と、一定範囲で総額が変わらない固定費を分けて考える。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	industrial	12 直接原価計算	第1節 直接原価計算とは	直接原価計算の損益構造	procedure	ALP-IND-12-0005	1	bookkeeping::industrial chapter::industrial::12 difficulty::1 status::approved topic::直接原価計算の損益構造 type::procedure	approved	pass
BK-IND-12-0005	全部原価計算の売上原価＝{{c1::期首製品棚卸高}}＋{{c1::当期製品製造原価}}－{{c1::期末製品棚卸高}}。	期首在庫と当期完成分から、期末に残った製品を差し引く。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	industrial	12 直接原価計算	第1節 損益計算書	全部原価計算の売上原価	formula	ALP-IND-12-0007	1	bookkeeping::industrial chapter::industrial::12 difficulty::1 status::approved topic::全部原価計算の売上原価 type::formula	approved	pass
BK-IND-12-0006	全部原価計算の利益計算は、{{c1::売上総利益}}＝{{c1::売上高}}－{{c1::売上原価}}、{{c1::営業利益}}＝{{c1::売上総利益}}－{{c1::販売費及び一般管理費}}。	売上原価控除後が売上総利益、さらに販売費及び一般管理費を控除したものが営業利益。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	industrial	12 直接原価計算	第1節 損益計算書	全部原価計算の利益段階	formula	ALP-IND-12-0008	1	bookkeeping::industrial chapter::industrial::12 difficulty::1 status::approved topic::全部原価計算の利益段階 type::formula	approved	pass
BK-IND-12-0007	直接原価計算の変動売上原価＝{{c1::期首製品棚卸高}}（変動原価）＋{{c1::当期製品製造原価}}（変動原価）－{{c1::期末製品棚卸高}}（変動原価）。	棚卸資産に含める製造原価は変動製造原価のみ。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	industrial	12 直接原価計算	第1節 損益計算書	変動売上原価	formula	ALP-IND-12-0009	2	bookkeeping::industrial chapter::industrial::12 difficulty::2 status::approved topic::変動売上原価 type::formula	approved	pass
BK-IND-12-0008	直接原価計算では、変動製造マージン＝{{c1::売上高}}－{{c1::変動売上原価}}。	売上高から販売数量に対応する変動製造原価を控除した段階。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	industrial	12 直接原価計算	第1節 損益計算書	変動製造マージン	formula	ALP-IND-12-0010	1	bookkeeping::industrial chapter::industrial::12 difficulty::1 status::approved topic::変動製造マージン type::formula	approved	pass
BK-IND-12-0009	直接原価計算では、貢献利益＝{{c1::変動製造マージン}}－{{c1::変動販売費}}。	貢献利益は固定費の回収と利益獲得に貢献する利益段階。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	industrial	12 直接原価計算	第1節 損益計算書	貢献利益	formula	ALP-IND-12-0011	1	bookkeeping::industrial chapter::industrial::12 difficulty::1 status::approved topic::貢献利益 type::formula	approved	pass
BK-IND-12-0010	直接原価計算の営業利益＝{{c1::貢献利益}}－{{c1::固定費}}。この控除額には{{c1::固定製造原価}}と{{c1::固定販売費及び一般管理費}}を含む。	固定製造原価は直接原価計算では期間原価として当期に全額費用化する。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	industrial	12 直接原価計算	第1節 損益計算書	直接原価計算の営業利益	formula	ALP-IND-12-0012	2	bookkeeping::industrial chapter::industrial::12 difficulty::2 status::approved topic::直接原価計算の営業利益 type::formula	approved	pass
