ID	Text	Extra	SourceRepo	SourceCommit	SourcePath	Part	Chapter	Section	Topic	Type	ALP_IDs	Difficulty	Tags	Status	QA
BK-FND-00-0001	財務諸表は、投資家には {{c1::出資判断}}、銀行には {{c2::融資判断}}、取引先には {{c3::取引判断}} のための情報を提供する。	利害関係者ごとに財務諸表を利用する意思決定目的を区別する。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	foundation	00 序章 簿記の基本	1.1 簿記の目的	財務諸表の利用目的	reasoning	ALP-FND-00-0003	2	bookkeeping::foundation chapter::foundation::00 difficulty::2 status::pilot topic::財務諸表の利用目的 type::reasoning	pilot	pending
BK-FND-00-0002	簿記の基本5要素は {{c1::資産}}・{{c1::負債}}・{{c1::純資産}}・{{c1::収益}}・{{c1::費用}} である。	5要素は一組として再生する。個別要素を別カード化して周辺語から答えが漏れる構造を避ける。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	foundation	00 序章 簿記の基本	2.1 簿記の5要素	簿記の5要素	classification	ALP-FND-00-0012	1	bookkeeping::foundation chapter::foundation::00 difficulty::1 status::pilot topic::簿記の5要素 type::classification	pilot	pending
BK-FND-00-0003	資金調達を比較すると、出資には {{c1::返済義務がない}} のに対し、借入には {{c1::返済義務がある}}。	返済義務の有無という同一比較軸を一体で想起する。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	foundation	00 序章 簿記の基本	2.2 資産・負債・純資産	出資と借入	comparison	ALP-FND-00-0017	2	bookkeeping::foundation chapter::foundation::00 difficulty::2 status::pilot topic::出資と借入 type::comparison	pilot	pending
BK-FND-00-0004	増加を記入する側は、資産・費用が {{c1::借方}}、負債・純資産・収益が {{c1::貸方}} である。	5要素の定位置を二群にまとめ、借貸対応を同時に再生する。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	foundation	00 序章 簿記の基本	2.3 借方・貸方と定位置	5要素の借貸定位置	classification	ALP-FND-00-0022	2	bookkeeping::foundation chapter::foundation::00 difficulty::2 status::pilot topic::5要素の借貸定位置 type::classification	pilot	pending
BK-FND-00-0005	複式簿記では、1つの仕訳の借方合計と貸方合計は必ず {{c1::一致する}}。	個別の装飾的数値例ではなく、仕訳に共通する貸借平均の原則を想起する。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	foundation	00 序章 簿記の基本	2.4 取引の2面性	貸借平均の原則	journal_entry	ALP-FND-00-0024	1	bookkeeping::foundation chapter::foundation::00 difficulty::1 status::pilot topic::貸借平均の原則 type::journal_entry	pilot	pending
BK-FND-00-0006	火災・盗難によって資産が失われ、簿記の5要素が変化する場合、その事象は {{c1::簿記上の取引となる}}。	現金の受払がなくても5要素が変化すれば簿記上の取引になり得る。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	foundation	00 序章 簿記の基本	3.1 簿記上の取引	簿記上の取引の認識	recognition	ALP-FND-00-0026	2	bookkeeping::foundation chapter::foundation::00 difficulty::2 status::pilot topic::簿記上の取引の認識 type::recognition	pilot	pending
BK-FND-00-0007	契約を締結しただけで受入・支払がなく、簿記の5要素も増減しない場合、その契約は原則 {{c1::簿記上の取引とならない}}。	一般用語としての取引と、簿記で認識する取引を区別する。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	foundation	00 序章 簿記の基本	3.1 簿記上の取引	契約時の取引認識	recognition	ALP-FND-00-0027	2	bookkeeping::foundation chapter::foundation::00 difficulty::2 status::pilot topic::契約時の取引認識 type::recognition	pilot	pending
BK-FND-00-0008	1つの取引に複数の勘定科目が関係する仕訳を {{c1::複合仕訳}} という。	重複する数値例ではなく、複数勘定科目が関係するという定義を保持する。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	foundation	00 序章 簿記の基本	3.2 仕訳	複合仕訳	journal_entry	ALP-FND-00-0029	2	bookkeeping::foundation chapter::foundation::00 difficulty::2 status::pilot topic::複合仕訳 type::journal_entry	pilot	pending
BK-FND-00-0009	簿記の一巡は、{{c1::期首手続}} → {{c2::期中の仕訳・転記}} → {{c3::期末の試算表・決算}} → {{c4::財務諸表作成}} の順で進む。	順序そのものが学習対象のため、4つのCloze groupを使う。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	foundation	00 序章 簿記の基本	4.2 簿記の一巡	簿記の一巡	procedure	ALP-FND-00-0035	3	bookkeeping::foundation chapter::foundation::00 difficulty::3 status::pilot topic::簿記の一巡 type::procedure	pilot	pending
BK-FND-00-0010	試算表の集計対象は、合計試算表が {{c1::各勘定の借方・貸方の合計}}、残高試算表が {{c2::各勘定の残高}}、合計残高試算表が {{c3::借方・貸方の合計と残高の両方}} である。	3種類を同じ比較軸で識別する。	xihangzou/bookkeeping-integrated	569ed7b82e729334e1472286eaca7c4352e6fbdb	merged/textbook.md	foundation	00 序章 簿記の基本	4.3 試算表	試算表の種類	comparison	ALP-FND-00-0038	2	bookkeeping::foundation chapter::foundation::00 difficulty::2 status::pilot topic::試算表の種類 type::comparison	pilot	pending
