alp_id	source_part	source_chapter	source_section	source_anchor	summary	type	status	include_reason	exclude_reason	note_ids	qa_status
ALP-COM-15-0001	commercial	15 連結会計	第1節 1 連結財務諸表とは	commercial/chapter15.md::1-1	連結財務諸表は親会社と子会社からなる企業集団を一体として報告する財務諸表で、各社の個別財務諸表も別途作成する	definition	INCLUDE	consolidated statement definition			pending
ALP-COM-15-0002	commercial	15 連結会計	第1節 1 連結財務諸表とは	commercial/chapter15.md::1-1	発行済株式の50%超を保有して他社を支配する会社を親会社、支配される会社を子会社という	classification	INCLUDE	parent-subsidiary criterion			pending
ALP-COM-15-0003	commercial	15 連結会計	第1節 2 基本的な作成方法	commercial/chapter15.md::1-2	連結財務諸表は親子会社の個別財務諸表を単純合算し連結修正仕訳を反映して作成する	procedure	INCLUDE	consolidation workflow			pending
ALP-COM-15-0004	commercial	15 連結会計	第1節 2 基本的な作成方法	commercial/chapter15.md::1-2	連結精算表は個別財務諸表の単純合算額に連結修正を反映して連結財務諸表額を算定するために用いる	procedure	INCLUDE	consolidation worksheet purpose			pending
ALP-COM-15-0005	commercial	15 連結会計	第1節 3 連結財務諸表の特徴	commercial/chapter15.md::1-3	連結P/Lでは売上原価等の内訳を省略し税引前当期純利益を税金等調整前当期純利益と表示する	financial_statement	INCLUDE	consolidated P/L presentation			pending
ALP-COM-15-0006	commercial	15 連結会計	第1節 3 連結財務諸表の特徴	commercial/chapter15.md::1-3	親会社株主に帰属する当期純利益＝当期純利益－非支配株主に帰属する当期純利益である	formula	INCLUDE	parent-attributable income formula			pending
ALP-COM-15-0007	commercial	15 連結会計	第1節 3 連結財務諸表の特徴	commercial/chapter15.md::1-3	連結B/Sの純資産には親会社株主分に加えて非支配株主持分を表示する	financial_statement	INCLUDE	noncontrolling interest presentation			pending
ALP-COM-15-0008	commercial	15 連結会計	第2節 1 支配獲得時	commercial/chapter15.md::2-1	完全所有の支配獲得時は親会社の子会社株式と子会社の資本金・資本剰余金・利益剰余金を投資と資本の相殺消去で消去する	journal_entry	INCLUDE	investment-equity elimination			pending
ALP-COM-15-0009	commercial	15 連結会計	第2節 1 支配獲得時	commercial/chapter15.md::2-1	完全所有ののれん＝子会社株式取得原価－支配獲得時子会社資本合計である	formula	INCLUDE	full-ownership goodwill formula			pending
ALP-COM-15-0010	commercial	15 連結会計	第2節 1 支配獲得時	commercial/chapter15.md::2-1	投資消去差額が正ならのれん（資産）として計上する	journal_entry	INCLUDE	goodwill recognition			pending
ALP-COM-15-0011	commercial	15 連結会計	第2節 翌期以降	commercial/chapter15.md::2-subsequent	支配獲得翌期以降は支配獲得時の連結修正を開始仕訳として再現し、当期分の連結修正仕訳を別途行う	procedure	INCLUDE	beginning-entry concept			pending
ALP-COM-15-0012	commercial	15 連結会計	第2節 翌期以降	commercial/chapter15.md::2-subsequent	のれんは所定期間で償却し当期ののれん償却を費用計上してのれんを減額する	journal_entry	INCLUDE	goodwill amortization			pending
ALP-COM-15-0013	commercial	15 連結会計	第2節 翌期以降	commercial/chapter15.md::2-subsequent	前期以前の連結上の損益修正は翌期開始仕訳では利益剰余金の修正として引き継ぐ	procedure	INCLUDE	prior-period consolidation carryforward			pending
ALP-COM-15-0014	commercial	15 連結会計	第2節 翌期以降	commercial/chapter15.md::2-subsequent	子会社から親会社への配当は企業集団内部のため親会社の受取配当金と子会社の利益剰余金減少を連結上修正する	journal_entry	INCLUDE	intragroup dividend elimination			pending
