alp_id	source_part	source_chapter	source_section	source_anchor	summary	type	status	include_reason	exclude_reason	note_ids	qa_status
ALP-FND-00-0001	foundation	00 序章 簿記の基本	1.1 簿記の目的	commercial/chapter00.md::1.1	簿記は日々の取引を記録し集約して財務諸表を作成する一連の流れを扱う	definition	INCLUDE	core definition			pending
ALP-FND-00-0002	foundation	00 序章 簿記の基本	1.1 簿記の目的	commercial/chapter00.md::1.1	財務諸表は財産・返済義務・利益等を外部利害関係者へ報告する	financial_statement	INCLUDE	core reporting purpose			pending
ALP-FND-00-0003	foundation	00 序章 簿記の基本	1.1 簿記の目的	commercial/chapter00.md::1.1	投資家・銀行・取引先は財務諸表を出資・融資・取引判断に利用する	reasoning	INCLUDE	decision-useful relationship			pending
ALP-FND-00-0004	foundation	00 序章 簿記の基本	1.1 簿記の目的	commercial/chapter00.md::1.1	基本的な記録の流れは取引→帳簿への記録→財務諸表作成である	procedure	INCLUDE	core process			pending
ALP-FND-00-0005	foundation	00 序章 簿記の基本	1.1 簿記の目的	commercial/chapter00.md::1.1	帳簿は取引を記録する媒体であり帳簿へ書き込むことを記帳という	definition	INCLUDE	core terminology			pending
ALP-FND-00-0006	foundation	00 序章 簿記の基本	1.2 当社の立場	commercial/chapter00.md::1.2	簿記の取引判断は常に当社の立場から行う	reasoning	INCLUDE	prevents perspective errors			pending
ALP-FND-00-0007	foundation	00 序章 簿記の基本	1.3 基本用語	commercial/chapter00.md::1.3	出資は株主から元手資金を受け取ること、借入・貸付は資金を借りる・貸すことである	definition	INCLUDE	core terminology			pending
ALP-FND-00-0008	foundation	00 序章 簿記の基本	1.3 基本用語	commercial/chapter00.md::1.3	得意先は販売先、仕入先は購入先、掛けは代金後払いを意味する	definition	INCLUDE	core terminology			pending
ALP-FND-00-0009	foundation	00 序章 簿記の基本	1.3 基本用語	commercial/chapter00.md::1.3	仕訳は取引を借方・貸方に分ける記録、勘定は科目別集計単位、転記は仕訳を勘定へ移す記録である	definition	INCLUDE	core terminology			pending
ALP-FND-00-0010	foundation	00 序章 簿記の基本	1.3 基本用語	commercial/chapter00.md::1.3	残高は勘定の借方合計と貸方合計の差額である	definition	INCLUDE	core terminology			pending
ALP-FND-00-0011	foundation	00 序章 簿記の基本	1.3 基本用語	commercial/chapter00.md::1.3	X年Y月期はY月に終わる1年間、X年度はX年から始まる1年間を表す	definition	INCLUDE	period notation			pending
ALP-FND-00-0012	foundation	00 序章 簿記の基本	2.1 簿記の5要素	commercial/chapter00.md::2.1	財務諸表の基本5要素は資産・負債・純資産・収益・費用である	classification	INCLUDE	fundamental classification			pending
ALP-FND-00-0013	foundation	00 序章 簿記の基本	2.1 簿記の5要素	commercial/chapter00.md::2.1	貸借対照表は借方側に資産、貸方側に負債・純資産を表示する	financial_statement	INCLUDE	statement placement			pending
ALP-FND-00-0014	foundation	00 序章 簿記の基本	2.1 簿記の5要素	commercial/chapter00.md::2.1	損益計算書は借方側に費用、貸方側に収益を対応させる	financial_statement	INCLUDE	statement placement			pending
ALP-FND-00-0015	foundation	00 序章 簿記の基本	2.1 簿記の5要素	commercial/chapter00.md::2.1	収益が費用を上回る差額が当期純利益となる	formula	INCLUDE	core profit relationship			pending
ALP-FND-00-0016	foundation	00 序章 簿記の基本	2.1 簿記の5要素	commercial/chapter00.md::2.1	勘定科目は財務諸表表示名称であり5要素のいずれかに属する	classification	INCLUDE	account classification			pending
ALP-FND-00-0017	foundation	00 序章 簿記の基本	2.2 資産・負債・純資産	commercial/chapter00.md::2.2	出資には返済義務がなく、借入には返済義務がある	comparison	INCLUDE	funding-source distinction			pending
ALP-FND-00-0018	foundation	00 序章 簿記の基本	2.2 資産・負債・純資産	commercial/chapter00.md::2.2	資産は資金の運用形態、負債は返済義務ある調達源泉、純資産は返済義務ない調達源泉である	definition	INCLUDE	fundamental meanings			pending
ALP-FND-00-0019	foundation	00 序章 簿記の基本	2.2 資産・負債・純資産	commercial/chapter00.md::2.2	資産の定位置は借方、負債・純資産の定位置は貸方である	classification	INCLUDE	debit-credit placement			pending
ALP-FND-00-0020	foundation	00 序章 簿記の基本	2.3 借方・貸方と定位置	commercial/chapter00.md::2.3	帳簿・財務諸表の左側を借方、右側を貸方という	definition	INCLUDE	core terminology			pending
ALP-FND-00-0021	foundation	00 序章 簿記の基本	2.3 借方・貸方と定位置	commercial/chapter00.md::2.3	各要素は増加を定位置側、減少を反対側へ記入する	procedure	INCLUDE	core debit-credit rule			pending
ALP-FND-00-0022	foundation	00 序章 簿記の基本	2.3 借方・貸方と定位置	commercial/chapter00.md::2.3	資産・費用は借方増加、負債・純資産・収益は貸方増加である	classification	INCLUDE	core debit-credit rule			pending
ALP-FND-00-0023	foundation	00 序章 簿記の基本	2.4 取引の2面性	commercial/chapter00.md::2.4	1つの簿記上の取引は複数勘定を同額変化させる取引の2面性を持つ	reasoning	INCLUDE	fundamental double-entry logic			pending
ALP-FND-00-0024	foundation	00 序章 簿記の基本	2.4 取引の2面性	commercial/chapter00.md::2.4	仕訳の借方合計と貸方合計は必ず一致する	journal_entry	INCLUDE	fundamental balancing rule			pending
	foundation	00 序章 簿記の基本	2.4 取引の2面性	commercial/chapter00.md::2.4-example	現金500の出資例は取引の2面性の数値例		EXCLUDE		DECORATIVE_EXAMPLE		pending
ALP-FND-00-0025	foundation	00 序章 簿記の基本	3.1 簿記上の取引	commercial/chapter00.md::3.1	簿記上の取引は5要素を増減させ財務諸表に影響する活動・事象である	definition	INCLUDE	core definition			pending
